frame,court_x,court_y,ball_movement,nearest_player,nearest_distance,second_player,second_distance,possession_player,possession_team
1,2.49,343.86,,12,300.45038437305385,16,301.5011953403917,,
2,16.22,339.71,14.343479354745147,12,295.15061167765816,16,295.9447252465453,,
3,0.48,344.28,16.39001220255799,12,301.08939886521375,16,302.17228833639456,,
4,3.19,345.7,3.0594934221207346,12,302.20623163468315,16,303.23572179684436,,
5,20.25,344.44,17.10646661353536,12,299.65097304750367,16,300.3623454084303,,
6,16.49,348.71,5.689507887330842,12,304.11735039736845,16,304.89758251695764,,
7,11.65,349.24,4.868932121112391,12,304.9730489455024,16,305.84282064237675,,
8,20.31,354.12,9.940321926376425,12,309.31736692160655,16,310.02033179339224,,
9,22.33,355.55,2.4749343425634582,12,310.6592333655573,16,311.3319547590894,,
10,25.31,356.51,3.130814590485991,12,311.51283124156953,16,312.1314635938448,,
11,30.72,357.02,5.433985645914055,12,311.90985013810604,16,312.4253650436143,,
12,19.59,361.84,12.128862271458107,12,317.0626412088876,16,317.7797031127628,,
13,24.30666666666667,363.8933333333333,5.144231937055548,12,318.92601540112406,16,319.5554507741516,,
14,29.023333333333333,365.94666666666666,5.144231937055545,12,320.8610515368992,16,321.40373173463814,,
15,33.74,368.0,5.144231937055548,12,322.866461143823,16,323.32330208457864,,
16,54.83,363.42,21.581577792181918,12,318.9249153398,16,318.9970118972836,,
17,62.88,368.31,9.418842816397348,16,324.33890115642265,14,324.377724005454,,
18,68.55,374.24,8.204498765921048,14,330.6303761183151,16,330.68821133780335,,
19,75.75,382.3,10.807571420073987,14,339.21762042984636,16,339.3926414606476,,
20,82.89,394.49,14.127126388618457,14,352.06309828961344,16,352.3072138018688,,
21,87.11,409.21,15.3129618297702,14,367.15040142655704,16,367.4362232208954,,
22,82.61,383.62,25.982649980323384,14,341.1904512173917,16,341.48415608030143,,
23,92.48,429.4,46.83188337019981,14,387.8217947862017,16,388.15442513504297,,
24,90.63,419.95,9.629382119326236,14,378.22107411893643,16,378.542171550959,,
25,84.74,414.4,8.092873408128916,14,372.05772319907834,16,372.29552770410186,,
26,82.15,406.24,8.56117398491582,14,363.67875336852165,16,363.8889419691064,,
27,82.74,399.3,6.965034098983289,14,356.8323645972742,16,357.06623391536647,,
28,82.36,392.31,7.000321421192039,14,349.80809668353663,16,350.04715283227574,,
29,77.78,391.37,4.675467891024382,14,348.4317620271127,16,348.59400551492934,,
30,79.59,389.66,2.490020080240306,14,346.89681141494873,16,347.09443851076185,,
31,77.85,386.16,3.90865705837696,14,343.2495424230869,16,343.4231232781233,,
32,78.6,383.68,2.5909264752208023,14,340.8498676100352,16,341.0732764637288,,
33,85.91,382.42,7.417796168674359,14,340.36352847320074,16,340.6873093889777,,
34,109.52,406.65,33.830829135568024,14,367.74695116370236,16,368.4328312462879,,
35,149.81,397.76,41.25913474613834,14,368.2098859673087,16,369.52877970272164,,
36,145.8875,384.04,14.269702388277034,14,353.9353208640773,16,355.2998936620348,,
