frame,ball_x,ball_y,ball_available,ball_zone,possession_player,possession_team,possessor_x,possessor_y,possessor_team,possessor_zone,event_type,previous_possession_player,previous_possession_team,possession_change,team_change,team_a_possession,team_b_possession,pass_event,pass_from_player,pass_to_player,pass_from_team,pass_to_team,pass_confidence
0,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
1,2.49,343.86,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
2,16.22,339.71,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
3,0.48,344.28,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
4,3.19,345.7,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
5,20.25,344.44,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
6,16.49,348.71,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
7,11.65,349.24,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
8,20.31,354.12,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
9,22.33,355.55,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
10,25.31,356.51,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
11,30.72,357.02,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
12,19.59,361.84,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
13,24.30666666666667,363.8933333333333,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
14,29.023333333333333,365.94666666666666,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
15,33.74,368.0,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
16,54.83,363.42,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
17,62.88,368.31,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
18,68.55,374.24,True,MID_LEFT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
